sample-id	chao1	observed_features	shannon_entropy	simpson	simpson_e	pielou_evenness	faith_pd
TB_0078	9.0	9	2.493276998170032	0.7622808619430241	0.4674049890105201	0.7865413210204005	2.317708320134126
TB_0086	22.0	22	3.291096051072909	0.8307957450693937	0.2686371301548367	0.7380079643599501	2.495317303737824
TB_0091	19.0	19	3.532279358158299	0.862422388604821	0.382559185419996	0.8315300454114516	0.4357906786242167
TB_0095	47.0	25	2.0727841216015856	0.5831240869247625	0.0959518138261464	0.4463497655602762	1.873884860041617
TB_0099	10.0	10	2.870775019412789	0.8331126734842951	0.5992066748734783	0.8641893916460973	0.6092879803437987
TB_0101	39.0	39	4.814996557419309	0.9548027757487216	0.5673141673141673	0.9109990797362248	1.010273512565025
TB_0110	12.0	12	3.2220807592017464	0.8765465211833455	0.6750181050555478	0.8987766980975639	2.660040814025749
TB_0112	102.0	24	1.9469312793405007	0.5197281318480642	0.0867564174162398	0.424634068225045	2.072626342440067
TB_0114	87.0	27	1.5983024183816643	0.4233130934989043	0.0642238216604397	0.336138850320736	1.726721371842188
TB_0117	8.0	7	1.5679134102184085	0.5615583911614317	0.3258293464335454	0.5585020254828458	1.367234884323087
TB_0123	20.0	20	3.603573411498825	0.8925652848794741	0.4653989163922235	0.8337883769426158	1.826903822681235
TB_0127	34.5	33	4.110729404487201	0.9088009039444852	0.3322733624967528	0.8149104346767424	2.730637188881932
TB_0129	24.0	23	4.032736024379978	0.9281580989773556	0.6051936300496984	0.8914956982030889	1.133486104246003
TB_0131	8.0	8	2.357729825784852	0.7552501826150475	0.51072561089349	0.785909941928284	1.7452436998
TB_0141	30.0	29	4.373887427832464	0.9350404035792548	0.5308339417219263	0.9003508725578299	1.850549831398702
TB_0142	42.0	42	4.921186851067182	0.9574392804967128	0.5594248426106833	0.9126292955749632	1.360698085162808
TB_0143	21.0	19	2.4170612488988588	0.6616200237399562	0.155539874223885	0.5689977621438899	1.354617518782803
TB_0145	49.0	42	4.236504132422393	0.9053768718042366	0.2516247799403218	0.7856555540529073	0.9745927635515312
TB_0149	38.6	38	4.487063875814772	0.9308802045288532	0.3807272474449001	0.8550163591856569	1.629940236977596
TB_0152	21.0	18	3.4014893855452475	0.8847584915997078	0.4820793855160499	0.8157195595529236	1.927192886480359
TB_0153	14.0	14	3.23428478840314	0.8572235664718773	0.5002826423346828	0.8494833958519526	1.947633999938219
TB_0155	35.333333333333336	35	4.69374061763884	0.9511219411979548	0.5845450754732715	0.9150870798380046	2.022220611515876
TB_0157	15.0	15	3.233596128929502	0.8448685171658145	0.4297429860702373	0.8276648781934608	1.841183420094599
TB_0160	37.0	36	4.44321458447924	0.92936792366691	0.3932742631942761	0.8594350175756257	1.587532671274307
TB_0166	9.0	9	2.7123001457488685	0.8258308984660336	0.637949614096403	0.8556354312845807	1.339447143727103
TB_0168	19.0	19	3.142812808038072	0.7942499086924762	0.2558034293588856	0.7398461480549956	1.950444530653226
TB_0169	17.0	17	2.887098541310875	0.8138867330168006	0.3160630639892789	0.7063302232804451	1.940230627430051
TB_0170	21.0	21	4.094346836901612	0.9343213568298028	0.7250309281762927	0.9321609626089729	2.065757419190154
TB_0171	27.0	27	4.083934751333049	0.9188618517165814	0.4564688475224416	0.858891982086824	2.00809568750146
TB_0174	18.0	18	3.731471205072994	0.9153921658144633	0.6566242486922373	0.8948533136165125	1.401094929541169
TB_0177	16.0	16	3.715430107030878	0.911557249817385	0.7066718286230481	0.9288575267577196	1.781340824226411
TB_0178	59.85714285714286	38	1.7447776615467072	0.3923598429510593	0.0433081802912585	0.3324698477784078	3.582367033970763
TB_0179	5.0	5	1.5733826771228798	0.6091124908692477	0.5116561551039477	0.6776190359155826	0.529934278251329
TB_0180	21.0	21	4.099098766646754	0.928717357560263	0.6680314588408416	0.9332428356358397	1.813128762700597
TB_0190	18.0	17	3.3060324131001293	0.8732023831263696	0.4639166796832599	0.8088226221253736	2.030432300611019
TB_0194	16.0	16	3.1411900049209653	0.8038657322863404	0.318659256888475	0.7852975012302413	2.675808162314794
TB_0202	13.0	13	3.056702778154776	0.8519220233747261	0.519476823469424	0.8260377174014075	1.242291968430648
TB_0203	14.0	14	3.26425475335473	0.8697041636230826	0.5482030233256582	0.8573549932115687	0.7203377188454687
TB_0206	35.333333333333336	26	2.141700192274731	0.5340405861943024	0.0825426793020576	0.455638263800928	1.706045260074228
